"geneSymbol","BCK_eIF4E_KD_DSG_2020.csv~1","BCK_eIF4E_KD_DSG_2023.xlsx~1","BCK_eIF4E_KD_DSG_2023.xlsx~2","BCK_eIF4E_KD_DSG_2023.xlsx~3","BCK_eIF4E_RIP_2016.csv~1","BCK_eIF4E_RIP_2025.csv~1","BCK_Ezr_RIP_2025.csv~1","JC list_4E interaction proteins.csv~1","JCM_NCBP2_OE_DEG_2024.csv~1","JCM_NCBP2_OE_rMATS_2024.csv~1","MG_eIF4E_OE_DSG_2018.csv~1"
"MAP2","BCK_eIF4E_KD_DSG_2020.csv~1.49",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1514",NA
"TOLLIP","BCK_eIF4E_KD_DSG_2020.csv~1.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOK","BCK_eIF4E_KD_DSG_2020.csv~1.51",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.124",NA,NA,"BCK_eIF4E_RIP_2025.csv~1.105","BCK_Ezr_RIP_2025.csv~1.31",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.25",NA
"MOK","BCK_eIF4E_KD_DSG_2020.csv~1.51",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.124",NA,NA,"BCK_eIF4E_RIP_2025.csv~1.105","BCK_Ezr_RIP_2025.csv~1.31",NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.406",NA
"RRAGB","BCK_eIF4E_KD_DSG_2020.csv~1.52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGBL5","BCK_eIF4E_KD_DSG_2020.csv~1.53",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1881",NA,NA,NA,NA,NA,NA
"HACE1","BCK_eIF4E_KD_DSG_2020.csv~1.54",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1572",NA
"DOCK3","BCK_eIF4E_KD_DSG_2020.csv~1.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF268","BCK_eIF4E_KD_DSG_2020.csv~1.56","BCK_eIF4E_KD_DSG_2023.xlsx~1.265",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRRFIP2","BCK_eIF4E_KD_DSG_2020.csv~1.57","BCK_eIF4E_KD_DSG_2023.xlsx~1.271",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.440",NA
"LRRFIP2","BCK_eIF4E_KD_DSG_2020.csv~1.57","BCK_eIF4E_KD_DSG_2023.xlsx~1.271",NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1651",NA
"WASHC2A","BCK_eIF4E_KD_DSG_2020.csv~1.58",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.259",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1670","MG_eIF4E_OE_DSG_2018.csv~1.216"
"WASHC2A","BCK_eIF4E_KD_DSG_2020.csv~1.58",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.259",NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.1671","MG_eIF4E_OE_DSG_2018.csv~1.216"
"SNPH","BCK_eIF4E_KD_DSG_2020.csv~1.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOSPD1","BCK_eIF4E_KD_DSG_2020.csv~1.60",NA,"BCK_eIF4E_KD_DSG_2023.xlsx~2.141",NA,NA,NA,NA,NA,NA,NA,NA
"FBXL20","BCK_eIF4E_KD_DSG_2020.csv~1.61",NA,NA,NA,"BCK_eIF4E_RIP_2016.csv~1.1659",NA,NA,NA,NA,NA,NA
"COL12A1","BCK_eIF4E_KD_DSG_2020.csv~1.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBXL4","BCK_eIF4E_KD_DSG_2020.csv~1.63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRSS16","BCK_eIF4E_KD_DSG_2020.csv~1.64",NA,NA,"BCK_eIF4E_KD_DSG_2023.xlsx~3.326","BCK_eIF4E_RIP_2016.csv~1.3662",NA,NA,NA,NA,NA,NA
"ARMC8","BCK_eIF4E_KD_DSG_2020.csv~1.65",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ARMC8","BCK_eIF4E_KD_DSG_2020.csv~1.66",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ARMC8","BCK_eIF4E_KD_DSG_2020.csv~1.67",NA,NA,NA,NA,NA,NA,NA,NA,"JCM_NCBP2_OE_rMATS_2024.csv~1.2026",NA
"ADAM23","BCK_eIF4E_KD_DSG_2020.csv~1.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
